binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.385 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.806 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.766 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.62 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.153 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.154 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.126 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.73 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.783 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.765 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.23 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.188 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.962 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.774 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.9 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.882 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.767 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.774 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.675 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.697 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.342 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.175 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.029 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3.135 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.349 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.371 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.235 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.056 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.132 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.777 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.159 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.141 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.302 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.915 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.683 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.664 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.671 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.856 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.66 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.662 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.936 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.012 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.074 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.899 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.762 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.778 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.894 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.772 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.767 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.702 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.644 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.583 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.561 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.637 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.594 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.572 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.673 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.566 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  4.484 
k-nucleotide ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.138 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.439 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.616 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.362 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.202 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.124 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.974 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.92 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.717 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.686 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.702 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.947 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.846 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.883 
